lead_id,email,lead_created_at,lead_utm_campaign,lead_utm_source,lead_utm_medium,lead_utm_content,lead_utm_term,company_name,industry,country,lead_status
L10041,b08e76a209ee166fe5a09281919e2795317a6515edac896224c9a0a7d9330259,2024-09-06 20:00:00,Google Search Prospecting,linkedin,social,content_6,,Company M,Retail,Switzerland,Qualified
L10042,73a76c55fab2051977104a758d430b340f91b182babc309bab8551cfeeab4ccc,2024-10-24 02:00:00,Brand Awareness Q4,,cpc,,,Company A,Manufacturing,France,New
L10043,2f7d21aa4ae5c0eeb0c08423f5405a9c8b7498533486e6868b30e38044e18bf0,2024-10-10 04:00:00,Product Launch 2024;1004;Cold Traffic;2010,organic,,content_5,,Company F,Healthcare,Austria,New
L10044,2bfb7056915274a75e29ce91f2867c1d889a175e566effb73ce329b9e28899b1,2024-10-20 05:00:00,,facebook,,content_7,keyword_7,Company C,Healthcare,France,New
L10045,89678e3842a473d538b389c14dec314247b4e5d7467eecab370aa992201e0a07,2024-10-15 09:00:00,,facebook,organic,,keyword_14,Company L,Software,Austria,Qualified
L10046,c7a604dc7d4ea40f92b71b60a3de185cf0e8836711d7928418e40f321aef430b,2024-09-01 13:00:00,,linkedin,referral,,keyword_17,Company I,Healthcare,Austria,Not Interested
L10047,5d1fdfd4407c958d21ff23cb51ee81af8ab158af59421bc40b80fb963569988d,2024-09-30 13:00:00,,linkedin,cpc,content_8,keyword_15,Company S,Healthcare,Switzerland,Qualified
L10048,394a87e394822176ca31865589cc62cabc6447534a08f53339fabd61b36c32f6,2024-09-02 15:00:00,,google,email,content_10,,Company I,Healthcare,Germany,Nurture
L10049,e2dd7d6aa661f89d1f1924396fe002722653984601be6c637579d52ca4c7d6f3,2024-09-13 02:00:00,Product Launch 2024;1004;Cold Traffic;2010,google,referral,content_1,keyword_8,Company M,Education,France,Qualified
L10050,9b6f1123532f0c24ce3c8b51d9a1fbaf8912f5f992329c7b580c4699f8b75706,2024-10-13 18:00:00,Content Downloads,organic,referral,content_5,keyword_7,Company K,Software,Austria,Contacted
L10051,561d2ec9c2ec8f696348876c74fb4ffcb631d392cd43cac0ea8a8094f9e6d9bd,2024-09-13 06:00:00,Test Campaign;1002;,organic,cpc,,keyword_12,Company F,Retail,Germany,Nurture
L10052,1d6331caa422f10f91090ceb094e5f08e73f6a9a666ef5eb0ccb100719916cae,2024-09-09 08:00:00,Brand Awareness Q4;1001;Interest Targeting;2001,google,referral,content_1,,Company P,Finance,Switzerland,Qualified
L10053,cb86709cd5f0da234e81a39e8530f871f3050f7434d4b556dcad47a40b28f13b,2024-09-12 01:00:00,24-10 | FR | Awareness | Video | BRD | 098765432109876543,facebook,cpc,content_1,keyword_19,Company J,Software,France,New
L10054,3611f651ef1574d665f096105dcab05a6fd04eedbcc15240ce41ca0b9bcf4a43,2024-10-06 13:00:00,Product Launch 2024,direct,referral,content_10,,Company J,Healthcare,Austria,New
L10055,6a1d9cbaec86558f68b7591ca54a248f277fc653e66e4ea0e9092eb95da3928b,2024-10-10 23:00:00,Lead Generation | DE | Form;1002;Lookalike Audience;2004,linkedin,social,content_9,keyword_1,Company N,Finance,Austria,Not Interested
L10056,b480949529e768b5856645494647763caf34847633f219b78fe6ac80512ca3b9,2024-09-19 01:00:00,Content Downloads;1006;Lookalike Audience;2016,direct,social,,,Company S,Education,France,Not Interested
L10057,566a8e6b3765650bbba52e7c06180e4c51a6cbebe3376438dd0dc31afd3cab0b,2024-09-08 17:00:00,Lead Generation | DE | Form;1002;Lookalike Audience;2004,,cpc,content_5,,Company S,Retail,Switzerland,New
L10058,b187264f95aa8d49ad6e13c15ae19161ef8196eb386df32bae7a59961f739eb9,2024-09-30 22:00:00,Google Brand Campaign,,referral,content_10,keyword_14,Company K,Healthcare,Netherlands,New
L10059,847b1d227419f3cb9879093d9fb7e4a80115bff20112341b6330ac91a78cb6c5,2024-09-06 07:00:00,,organic,cpc,,,Company I,Healthcare,Germany,Contacted
L10060,45dbdf9994ec159cebf2ba0b85c129655eaf9379c0eaf0e385b41162e3a92426,2024-10-01 16:00:00,Demo Requests Campaign,organic,referral,,keyword_14,Company K,Retail,Germany,Contacted
L10061,4953b01980c811371fd28329a01d42e85d399f291fe45aa306bbd44f138972ba,2024-09-22 13:00:00,Demo Requests Campaign,direct,organic,content_2,keyword_11,Company D,Finance,Austria,New
L10062,2c8f5902cf60d790f9ce95df97f95a262a79998f766a579629dd33c66af3916c,2024-10-13 17:00:00,Brand Awareness Q4,linkedin,referral,content_1,keyword_18,Company E,Retail,Switzerland,Not Interested
L10063,5e4de52f4c441637e5531fcd3aacb74da4f3c81041e65587f3cc305cf19a8b1c,2024-09-08 00:00:00,,google,email,content_9,keyword_8,Company D,Finance,Germany,Contacted
L10064,8c3c32460893f32077a7be0545227907a88eb4cf9c77111b5d07073d2e6ede8d,2024-10-02 22:00:00,24-09 | NL | Conversion | Image | RET | 112233445566778899,direct,,content_9,keyword_7,Company T,Healthcare,France,New
L10065,10bb2b424743dcd0d204aff3bc21a1fad835dec2fe6c2f8858bfe518086c4efa,2024-09-18 13:00:00,Demo Requests Campaign,linkedin,organic,content_8,,Company O,Healthcare,Switzerland,Qualified
L10066,e2e6948d16ff693713785ffc1666cb4a8f664fcd6519366e5f1b3aa624d1afb3,2024-09-22 17:00:00, Lead Generation | DE | Form ,linkedin,social,content_4,,Company N,Software,Netherlands,Not Interested
L10067,200603b5603386587a08827a3a82b59836caa6d03f0086592a7feeac3115f101,2024-10-16 12:00:00,Retargeting Campaign,facebook,organic,content_2,,Company O,Software,Austria,Not Interested
L10068,e6593e865d302253324bcd5e183d4184f579e181b86f7b22ccbdf7157adcf4b6,2024-09-01 23:00:00,Content Downloads;1006;Lookalike Audience;2016,,email,content_7,,Company K,Education,Austria,Not Interested
L10069,dcbabcf400d5a55a5a7697b6cd78e3f71fccdad9d9e456b8c4a9ee6dee38b950,2024-09-21 20:00:00,Test Campaign;1002;,facebook,social,content_5,,Company C,Finance,Germany,New
L10070,8bbc41fdce5a2ab38d474eed6901c872f10ec2f4b4aef85822d1bcb2dc36af12,2024-09-29 05:00:00,Brand Awareness Q4,facebook,email,content_4,,Company S,Education,France,Contacted
L10071,ad9d74ab022e4a21d819b8a517cf8cc38464943dacc4455a09a977b948e12614,2024-09-12 02:00:00,Google Brand Campaign,google,organic,content_8,,Company O,Retail,Germany,Not Interested
L10072,039708b78838f8515721f35d37c37d618518d2757beaeb3699a4d306ad3a5f72,2024-10-28 09:00:00,Retargeting Campaign,linkedin,,content_7,,Company O,Retail,France,Not Interested
L10073,8ae33ebf82a8edfc7cfb9d76fa5ef40316454b8b450ce48f5795b2a8f95e0d28,2024-10-25 15:00:00,Product Launch 2024;1004;Cold Traffic;2010,organic,email,content_7,keyword_19,Company B,Healthcare,Switzerland,Qualified
L10074,4ec147a1d4abde898dd4e0899c6c7174310359b951bdc9869c819e65eb1ea472,2024-10-20 07:00:00,Content Downloads,google,social,content_1,keyword_15,Company B,Healthcare,Netherlands,Contacted
L10075,918efef035b7ef3d0e7fee0f1dc4b3f48c6601cb753d8ca1cef5637bcb03cdfb,2024-09-06 09:00:00,Google Brand Campaign,google,email,content_5,,Company I,Finance,Netherlands,Qualified
L10076,18d84b6aebebd9ce05119c1a0110e7b3f80c57d6cebf42aa23a6f3a415c81647,2024-10-22 03:00:00,Lead Generation | DE | Form,google,referral,,,Company L,Software,Switzerland,New
L10077,8ceb33c1577266ac2c95ed3f796c2457774f35222ba68d48333649d87ae900d0,2024-09-17 17:00:00,Retargeting Campaign;1003;Retargeting;2007,linkedin,email,content_4,keyword_20,Company R,Retail,Austria,Contacted
L10078,b5211e48e2b097723155815afe8944d91e8e026e4fbc16c868d31633d7d55198,2024-10-12 02:00:00,Google Search Prospecting,,referral,content_1,,Company J,Finance,Germany,New
L10079,a37190128336f163143c0436c18e1863ebde5d6589cc02181f346d4aade3d589,2024-09-16 17:00:00,Product Launch 2024;1004;Cold Traffic;2010,organic,social,,,Company P,Healthcare,Switzerland,Qualified
L10080,0155033fe8f1759dd8331d9880b9dc3f210fb23957c81e33c44221523b17afbc,2024-09-03 22:00:00,Google Search Prospecting,google,cpc,,keyword_12,Company B,Finance,Netherlands,Contacted
L10081,30810b001f9c71e8d1885812314445aefc2e4341a1f914d6bbc22c556a19ea02,2024-09-08 14:00:00,Lead Generation | DE | Form;1002;Lookalike Audience;2004,organic,,content_6,keyword_5,Company S,Manufacturing,Germany,Nurture
L10082,f4faa3732a841793274c00c2338074a0d5439692c7fe69e09e4582620efa1826,2024-09-14 18:00:00,Lead Generation | DE | Form;1002;Lookalike Audience;2004,google,organic,content_3,,Company R,Retail,France,New
L10083,0695eaa64ea1e310390a3296b45cef309f9ad5d69e960e4535b573f3ac3f0a12,2024-10-13 00:00:00,Retargeting Campaign;1003;Retargeting;2007,google,cpc,content_1,keyword_14,Company Q,Software,Germany,Not Interested
L10084,89f4a611cf3312ac71f3bd752765f0076db952b92fda8c61637a6a95a2205845,2024-09-29 11:00:00,Lead Generation | DE | Form,google,,content_9,keyword_1,Company B,Finance,Switzerland,Not Interested
L10085,b44c75d2b05150b75a9b146a91b4724b043b2095c422fcc40fd51915569658e4,2024-10-14 03:00:00,Google Search Prospecting,facebook,social,content_5,,Company S,Healthcare,Netherlands,Not Interested
L10086,09226f28a6a62b8a14a9d1a60a11ddc89065f538dee77b8a63e1b07cc9dd1528,2024-10-09 16:00:00,24-09 | NL | Conversion | Image | RET | 112233445566778899,facebook,cpc,,,Company R,Education,France,Not Interested
L10087,0d15e0e783709ed6ad21f5924d5ed5c22e4920fd954b06e0eca1979ae3b9b039,2024-09-29 07:00:00,Google Search Prospecting,facebook,email,content_6,,Company P,Software,Germany,New
L10088,1c8fec571093581ed9c0d098dd829b0ccfc125ed2e166a627f4fb84bf75de25f,2024-09-06 13:00:00,Content Downloads;1006;Lookalike Audience;2016,google,organic,,,Company D,Finance,Netherlands,Not Interested
L10089,226fe72ed27392799b90aaa205de1df4fbc65c00119f657c91e929562b9985bd,2024-10-26 23:00:00,Retargeting Campaign;1003;Retargeting;2007,linkedin,organic,content_8,keyword_4,Company L,Healthcare,Netherlands,New
L10090,3e9edaccb437a75dbd4502714479412176c75fe58e453bec6a9aaf0765917bfe,2024-10-19 08:00:00,Google Brand Campaign,organic,organic,content_5,keyword_9,Company J,Retail,Netherlands,New
L10091,bd7000938a55a69c8b1e04532bc1200f6701af4832ac52f7794fc8fb6ff96b05,2024-09-12 04:00:00,Google Brand Campaign,facebook,organic,content_7,keyword_6,Company L,Retail,Netherlands,Nurture
L10092,33fb69f4c347aef0130654bdd4bc3d0d8497b869aa948cd19f56a609ffb7eab1,2024-10-09 02:00:00,,organic,cpc,content_7,keyword_15,Company N,Retail,France,Nurture
L10093,491b929087906fe5d26cb966dfacbb20dbf72fb78a09137c13bc61a5b0873bba,2024-09-08 11:00:00,Demo Requests Campaign,organic,email,content_7,,Company B,Software,France,Qualified
L10094,81d955a73a3e1f878215257182a8a5262a60524e58d586312a38c3fd7fd60e90,2024-09-14 04:00:00,Product  Launch  2024,facebook,referral,content_7,,Company H,Healthcare,Austria,Qualified
L10095,274f945a1e7f0ab2e8bce368b7e05de8016801cb26c50772aa72574d2ccd8937,2024-09-05 12:00:00,,facebook,cpc,,,Company S,Finance,Switzerland,Qualified
L10096,70ba465b10b8edf57b80175d4aa62bb568d7dbc6026ff5db5d1887e98f97e9b4,2024-09-08 12:00:00,Retargeting Campaign;1003;Retargeting;2007,organic,email,content_2,keyword_19,Company M,Healthcare,Germany,Not Interested
L10097,463ab5fadbe22c190bb3663b42d490d6180c8f87a48f7545566e1531c25c0ce7,2024-10-26 09:00:00,Brand Campaign;1001,google,cpc,content_4,,Company L,Retail,France,Contacted
L10098,27ee025742bfaa4613bf1b52e3029dbde0e49cd4db3b676e5d9a20b1b99d8383,2024-09-07 04:00:00,24-09 | DE | Leads | Form | ALC+ | 120220805451400171,facebook,referral,content_10,,Company O,Education,Austria,Nurture
L10099,13e1eb32a9dc03609dc6a63c226693931c6b8ded02b2f7c5f69660651d715747,2024-09-21 20:00:00,Google Search Prospecting,direct,email,content_6,,Company J,Finance,Switzerland,New
L10100,7f0047f6ea34078947e645247af6f7792d775c710d54f3ffe17bcd92a5720d43,2024-09-04 11:00:00,,facebook,organic,content_10,,Company B,Finance,Austria,Contacted
L10101,a6949d212d353301537f63ef68582db91147db8e15516fdf6da13bf01a35e2d8,2024-09-21 19:00:00,Retargeting Campaign,,email,,keyword_6,Company B,Manufacturing,Switzerland,Not Interested
L10102,6ef11ca641b4ad94bcb9c28d0eeb8ec83a0d7e1d138563dc3422f491ae32b283,2024-10-04 16:00:00,Content Downloads,linkedin,email,content_1,,Company K,Software,Netherlands,New
L10103,54bf6cbd09712f4156dfab3eb8dba48c1e4cf3aa22894c5409015b0364db6bb1,2024-10-06 21:00:00,Demo Requests Campaign,organic,email,content_3,,Company J,Education,Switzerland,Contacted
L10104,f0ab8aec567e8c77f032a0b17a5f3905b90b5f7969bd1b08bc9aef2ac73f14eb,2024-10-09 22:00:00,,direct,email,,,Company Q,Software,Switzerland,Nurture
L10105,34a23b46c82901b85105f5400b2f3cac4f098930a80e142c51d0848cb9496206,2024-09-24 00:00:00,Retargeting Campaign,,referral,content_3,keyword_10,Company D,Healthcare,Austria,Nurture
L10106,f85670f6af6069392303c2cda23a562fdb8fdd82f0cd9279e4a91fb3f506a49a,2024-09-03 21:00:00,Retargeting Campaign,google,organic,,keyword_15,Company B,Finance,Netherlands,Contacted
L10107,321ad76129334fb8ea8138fe28582d974246426f32d22f326839b2b58a18830b,2024-09-29 19:00:00,24-09 | NL | Conversion | Image | RET | 112233445566778899,google,email,,,Company G,Retail,Austria,Not Interested
L10108,5e7e1c0bb70ed04b688fc5f28ce5f0add40c045e563c65944c411e07f26f3863,2024-09-30 09:00:00, Lead Generation | DE | Form ,,organic,content_5,keyword_16,Company L,Healthcare,Germany,Nurture
L10109,e69bd1728b2cbc3a4dffacc44060d6c42857335b871871b83e0258ca71235562,2024-10-25 03:00:00,24-09 | DE | Leads | Form | ALC+ | 120220805451400171,organic,referral,content_4,,Company L,Software,Switzerland,New
L10110,2c27c820f2a9d301cfc65a1fc4a1fb29cf3e70ef457c07873e58745999bfbf7d,2024-09-26 16:00:00,Google Brand Campaign,,cpc,content_2,,Company K,Manufacturing,France,New
L10111,9697ad3a7377156f2e3603983838abfb024c178c3d7e08902119151afaf7b00a,2024-09-19 15:00:00,Retargeting Campaign,direct,cpc,,keyword_7,Company E,Healthcare,Austria,Nurture
L10112,93f4e383835dbfe8ff8f477403babea40aff47f9a7d9083f3817ea363427eaee,2024-09-28 03:00:00,RETARGETING CAMPAIGN,facebook,organic,content_2,,Company P,Healthcare,Austria,New
L10113,48553de298e1e63e2f1a22fd3fcd99a79fe59f48805b96ee05db0cc05640375e,2024-10-11 16:00:00,Retargeting Campaign,facebook,social,content_3,,Company C,Healthcare,Netherlands,New
L10114,01dbe57f96797890352bd2a43fbd46585fef776e532db197773a7823eaac2f3b,2024-10-04 17:00:00,Brand Awareness Q4,direct,referral,,keyword_1,Company L,Software,Netherlands,Contacted
L10115,0a8de6a4b891075fcc9ff7ec2581450909b265dac9132adf73f790a5e78b959e,2024-10-17 21:00:00,Content Downloads,linkedin,social,,,Company P,Education,France,Contacted
L10116,7be05069e50b2aa2fbb5ce2add0959d9c081247effbd46e3f70725c5d423c961,2024-09-05 22:00:00, Lead Generation | DE | Form ,google,social,,keyword_10,Company Q,Finance,Austria,Not Interested
L10117,2fda8114a652e94fccefa3307fe0cc0411b327ffbf26fb266bf0fcd2372deff0,2024-09-17 01:00:00,RETARGETING CAMPAIGN,facebook,email,content_6,keyword_13,Company O,Finance,Netherlands,Contacted
L10118,3abdb2ccae50ec225a744e73519b3832e3c5a2e5d44bff9e98e626e65570bc4e,2024-10-02 22:00:00,Demo Requests Campaign,direct,organic,,keyword_10,Company K,Software,Germany,Qualified
L10119,e4e72606b499845a39b7100ad8ecab59d64bcc225c2951fbcf7ba7af60599165,2024-10-13 09:00:00,Google Brand Campaign,direct,cpc,,,Company T,Finance,Netherlands,New
L10120,67bae23124e98f094cbe82d40ab68468fa3c305f5dee316cdcb3d93af887eef3,2024-09-05 21:00:00,Content Downloads,google,,content_10,,Company O,Software,France,New
L10121,9677932077e7c977a3a1fa34c6f1f89e116250e4331f9af4d292ef11bca737ef,2024-09-16 20:00:00,Google Brand Campaign,,social,content_6,keyword_3,Company S,Manufacturing,Austria,Qualified
L10122,282cecf8688c4ef6a5860ce276466478b2cf0707ce36563909028c20dab6cbfb,2024-09-26 10:00:00,Product Launch 2024,,social,content_7,,Company D,Retail,Netherlands,Not Interested
L10123,5498736633fcbf0c01b3331178cf4e00a06df37b4534c864a0843a7603d38cb2,2024-09-14 19:00:00,24-10 | FR | Awareness | Video | BRD | 098765432109876543,google,referral,content_8,,Company K,Education,Netherlands,New
L10124,74ccbf3b6c3266c5d8ed6134bdab4b53355c10bc55c592351dc1bd5d46cf1fde,2024-10-06 17:00:00,24-10 | FR | Awareness | Video | BRD | 098765432109876543,google,organic,content_4,,Company H,Finance,Germany,Qualified
L10125,42ea224c269e9358e6bf16607eb5f93d0130170e98812120515f137aed7c0c57,2024-10-06 18:00:00,Retargeting Campaign,facebook,referral,,,Company Q,Finance,Switzerland,Nurture
L10126,6f39537f9ac390d31c02fb40d6dc7392040380d420709ffdece6b4a91ac9f205,2024-09-05 04:00:00,,direct,organic,content_9,,Company F,Manufacturing,Switzerland,Nurture
L10127,b389bc56869381447dd9cadea591dd855d95d46807e1423d6095f964ce3ee6c7,2024-10-29 01:00:00,,linkedin,email,,keyword_17,Company J,Software,Netherlands,Contacted
L10128,379b4bb1692258a23f5a80e6c6071eb436707b007bfcd7937aa8b31e97cc171e,2024-10-11 17:00:00,24-09 | NL | Conversion | Image | RET | 112233445566778899,organic,social,content_10,keyword_20,Company T,Retail,Austria,New
L10129,9dd61eca0c5e13744d5484b5c3b2ebfaa9af389be65e0ff3795c02b5acdb00c0,2024-10-23 00:00:00,Content Downloads;1006;Lookalike Audience;2016,linkedin,organic,content_1,keyword_18,Company J,Education,Netherlands,Not Interested
L10130,ee97f687f31af36df04a271e328cea649656a1376de22f1db11ff551cfe00451,2024-09-16 21:00:00,Google Search Prospecting,facebook,referral,content_4,keyword_5,Company K,Education,Netherlands,Qualified
L10131,f9ae5f6f7d1b503ac8911ba56d2b1d803d3486662cf9e066c2caae08154d0c56,2024-09-26 04:00:00,brand awareness q4,direct,referral,content_2,keyword_13,Company T,Finance,France,Contacted
L10132,887a795f072f91ed9e17c90d6a7a6d837d3f93994ed3a74adcc373b6408ecbfd,2024-10-23 10:00:00,,google,referral,,keyword_10,Company P,Software,Germany,Not Interested
L10133,6845b059bba3137cadf75e99c2105ee5cf554ba249c00bf7ca35eb5bf5d4b372,2024-10-03 14:00:00,,linkedin,email,content_8,keyword_1,Company D,Finance,France,Qualified
L10134,1660e9457f370d9c2c35903501bfc2a0ac85989ab1c08dee249a107f1b0e609a,2024-10-17 11:00:00,Product  Launch  2024,facebook,social,content_5,keyword_17,Company O,Healthcare,Netherlands,Nurture
